# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Dec 14 14:04:00 2021
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_dens:        Stellar Density [g/cm**3]
#
loc_rowid,pl_name,pl_controv_flag,pl_orbper,pl_orbsmax,pl_masse,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens
1,11 Com b,0,,1.210000,,5434.70000,,,,,,,,2.60,,,,,
2,11 Com b,0,326.03000000,1.290000,,6165.60000,,0.231000,,,G8 III,4742.00,19.00,2.70,-0.350,2.243,2.31,,
3,11 UMi b,0,516.22000000,1.540000,,3337.07000,,0.080000,,,K4 III,4340.00,24.08,1.80,0.040,,1.60,1.560,
4,11 UMi b,0,,1.510000,,3432.40000,,,,,,,,1.70,,,,,
5,11 UMi b,0,516.21997000,1.530000,,4684.81420,,0.080000,,,,4213.00,29.79,2.78,-0.020,,1.93,,
6,14 And b,0,185.84000000,0.830000,,1525.50000,,0.000000,,,K0 III,4813.00,11.00,2.20,-0.240,1.763,2.63,,
7,14 And b,0,,0.680000,,1017.00000,,,,,,,,1.20,,,,,
8,14 Her b,0,1766.00000000,2.864000,,1581.13800,,0.359000,,,,5280.00,1.00,0.91,0.400,-0.153,4.40,,1.2739
9,14 Her b,0,1773.40002000,2.930000,,1481.08780,,0.370000,,,,5338.00,0.93,0.90,0.410,,4.45,,
10,14 Her b,0,1796.40000000,2.800000,,1506.45000,,0.338000,,,,5255.00,,0.90,0.510,-0.150,4.40,3.900,
11,14 Her b,0,,2.730000,,1440.66300,,0.357000,,,,,,0.90,,,,,
12,14 Her b,0,1766.41000000,2.830000,,1541.46777,,0.367400,,,,5314.94,1.00,0.97,0.405,,4.43,,
13,14 Her b,0,1773.40000000,2.770000,,1474.67000,,0.369000,,,K0 V,,,,,,,,
14,14 Her b,0,1724.00000000,2.820000,,1554.12000,,0.370000,,,K0 V,,,1.00,0.350,,,,
15,16 Cyg B b,0,799.45000000,1.676000,,556.83537,,0.683200,,,,5711.97,1.16,0.98,0.074,,4.30,,
16,16 Cyg B b,0,800.80000000,1.600000,,476.70000,,0.634000,,,G2.5 V,5760.00,,1.00,0.050,,4.35,,
17,16 Cyg B b,0,799.50000000,1.680000,,533.93000,,0.689000,,,,5747.00,1.13,1.03,0.060,0.097,4.35,,1.0110
18,16 Cyg B b,0,799.50000000,1.680000,,533.93000,,0.689000,,,G3 V,,,,,,,,
19,16 Cyg B b,0,798.50000000,1.681000,,533.95440,,0.681000,,,,5674.00,,0.99,0.038,,4.36,,
20,16 Cyg B b,0,798.50000000,1.660000,,565.73740,,0.680000,,,,5750.00,1.13,1.08,0.060,,4.36,,
21,17 Sco b,0,578.38000000,1.450000,,1373.01872,,0.060000,,,K3 III,4157.00,25.92,1.22,-0.010,2.254,1.70,5.130,
22,18 Del b,0,,2.540000,,3127.30000,,,,,,,,2.10,,,,,
23,18 Del b,0,993.30000000,2.600000,,3273.50000,,0.080000,,,G6 III,4979.00,8.50,2.30,-0.052,1.602,2.82,,
24,1RXS J160929.1-210524 b,0,,330.000000,4000.00000,4000.00000,,,,1700,,4060.00,,0.85,,-0.370,,0.010,
25,1RXS J160929.1-210524 b,0,,330.000000,3000.00000,3000.00000,,,,1700,K7 V,4060.00,,0.85,,-0.370,,0.005,
26,1RXS J160929.1-210524 b,0,,330.000000,3000.00000,3000.00000,,,,1800,,3993.00,1.31,0.62,,-0.403,4.00,,0.3879
27,1RXS J160929.1-210524 b,0,,330.000000,2543.00000,2543.00000,,,,1800,K7 V,4060.00,1.35,0.85,,,,0.005,
28,24 Boo b,0,30.35060000,0.190000,,289.22530,,0.042000,,,G3 IV,4893.00,10.64,0.99,-0.770,1.774,2.42,6.920,
29,24 Sex b,0,452.80000000,1.333000,,632.46000,,0.090000,,,,5098.00,4.90,1.54,-0.030,1.164,3.50,2.700,
30,24 Sex c,0,883.00000000,2.080000,,273.32000,,0.290000,,,,5098.00,4.90,1.54,-0.030,1.164,3.50,2.700,
31,2MASS J01033563-5515561 AB b,0,,84.000000,4131.79000,4131.79000,,,,,M5.5/M6,,,0.19,,,,0.030,
32,2MASS J01225093-2439505 b,0,,52.000000,7786.50000,7786.50000,,,,,M3.5 V,3530.00,,0.40,,-1.720,,0.120,
33,2MASS J01225093-2439505 b,0,,,,,,,,1600,,3309.00,0.37,0.35,,-1.838,4.86,,10.1187
34,2MASS J02192210-3925225 b,0,,156.000000,4417.83700,4417.83700,,,,,M6,3064.00,0.28,0.11,,-2.230,4.59,0.035,
35,2MASS J04414489+2301513 b,0,,15.000000,2383.60000,2383.60000,,,,,M8.5,,,0.02,,,,0.001,
36,2MASS J12073346-3932539 b,0,,46.000000,1271.00000,1271.00000,,,,1150,,2825.00,0.22,0.19,,-2.561,5.03,,25.2795
37,2MASS J12073346-3932539 b,0,,55.000000,1589.15000,1589.15000,,,,1250,M8,,,0.02,,,,0.008,
38,2MASS J19383260+4603591 b,0,416.00000000,0.920000,603.87700,603.87700,,,,,,,,0.48,,,,,
39,2MASS J21402931+1625183 A b,0,7336.50000000,,6657.48000,6657.48000,,0.260000,,2075,M8.5,2300.00,0.12,0.08,,-3.480,,,
40,2MASS J22362452+4751425 b,0,,230.000000,3972.87500,3972.87500,,,,,K7 V,4045.00,,0.60,,,,0.120,
41,30 Ari B b,0,345.40000000,1.010000,,2097.67800,,0.180000,,,,,1.13,1.16,,,,,
42,30 Ari B b,0,335.10000000,0.995000,,3140.03000,,0.289000,,,F6 V,6300.00,1.13,1.16,0.245,,4.50,0.910,
43,30 Ari B b,0,335.10001000,0.990000,,4392.41060,,0.290000,,,,6331.00,1.41,1.93,0.190,,4.43,,
44,4 UMa b,0,269.30000000,0.870000,,2256.50000,,0.432000,,,K1 III,4415.00,18.11,1.23,-0.250,,1.80,4.604,
45,42 Dra b,0,479.10000000,1.190000,,1233.13000,,0.380000,,,K1.5 III,4200.00,22.03,0.98,-0.460,,1.71,9.490,
46,47 UMa b,0,1083.20000000,2.110000,,826.32000,,0.049000,,,G1 V,,,,,,,,
47,47 UMa b,0,1076.60000000,2.059000,,774.86566,,0.016000,,,,5829.16,1.14,1.01,0.026,,4.33,,
48,47 UMa b,0,1100.80000000,2.110000,,877.17000,,0.097000,,,,,,,,,,,
49,47 UMa b,0,1078.00000000,2.100000,,804.08000,,0.032000,,,,5872.00,1.21,1.06,0.040,0.198,4.30,,0.8366
50,47 UMa b,0,1076.60000000,2.100000,,778.68350,,0.012000,,,G0 V,5882.00,,1.06,0.040,,,,
51,47 UMa c,0,2287.00000000,3.404000,,157.96072,,0.179000,,,,5829.16,1.14,1.01,0.026,,4.33,,
52,47 UMa c,0,2391.00000000,3.600000,,171.62100,,0.098000,,,,5872.00,1.21,1.06,0.040,0.198,4.30,,0.8366
53,47 UMa c,0,7586.00000000,7.730000,,425.87000,,0.005000,,,G1 V,,,,,,,,
54,47 UMa d,0,19000.00000000,13.800000,,479.92089,,0.380000,,,,5829.16,1.14,1.01,0.026,,4.33,,
55,47 UMa d,0,14002.00000000,11.600000,,521.22000,,0.160000,,,,5872.00,1.21,1.06,0.040,0.198,4.30,,0.8366
56,51 Eri b,0,11688.00000000,12.000000,,,,0.450000,,,,7295.00,1.49,1.65,,0.752,4.31,,0.7071
57,51 Eri b,0,,13.200000,635.66000,635.66000,,,,700,F0 IV,,,1.75,-0.027,0.850,,0.020,
58,51 Eri b,0,14965.00000000,14.000000,,,,0.210000,,,,7295.00,1.49,1.65,,0.752,4.31,,0.7071
59,51 Peg b,0,4.23100000,0.052000,146.20180,146.20180,,0.000000,,,,,,1.04,,,,,
60,51 Peg b,0,4.23078500,0.052700,,150.00900,,0.013000,,,,5758.00,1.18,1.03,0.180,0.136,4.31,,0.8937
61,51 Peg b,0,4.23079690,0.052350,,147.47238,,0.004200,,,,5760.76,1.19,1.07,0.206,,4.32,,
62,51 Peg b,0,4.23077000,0.052000,,148.73800,,0.000000,,,,,,,,,,,
63,51 Peg b,0,4.22930000,,,149.38010,,0.000000,,,,5773.00,1.29,,0.200,,4.32,10.000,
64,55 Cnc b,0,14.65152000,0.115227,263.97850,263.97850,,0.003400,,,,,,0.95,,,,,
65,55 Cnc b,0,14.65171000,0.116200,,267.29369,,0.004800,,,,5317.89,0.96,0.97,0.383,,4.46,,
66,55 Cnc b,0,14.64700000,0.115000,,289.21000,,0.030000,,,,,,,,,,,
67,55 Cnc b,0,14.64800000,0.110000,,266.97720,,0.051000,,,G8 V,5200.00,,0.85,0.230,,4.50,5.000,
68,55 Cnc b,0,14.65100000,0.113400,,254.25000,,0.004000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
69,55 Cnc b,0,14.65300000,0.115000,,266.97720,,0.020000,,,G8 V,,,0.95,0.270,,,5.500,
70,55 Cnc b,0,14.67000000,0.115000,,249.17872,,0.019700,,,,,,0.95,,,,,
71,55 Cnc b,0,14.65162000,0.115000,,261.88100,,0.014000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
72,55 Cnc b,0,14.60000000,0.113000,254.25000,254.25000,,0.000000,,700,K0 IV-V,,,,,,,,
73,55 Cnc b,0,14.65126000,0.113800,,260.61000,,0.015900,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
74,55 Cnc b,0,14.46531400,0.113390,266.96600,266.96600,,0.002300,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
75,55 Cnc b,0,14.65160000,0.113400,,255.40000,,0.000000,,,,5172.00,0.94,0.91,0.350,,4.43,,
76,55 Cnc c,0,44.37300000,0.237350,56.69850,56.69850,,0.072000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
77,55 Cnc c,0,44.39890000,0.237300,,51.20000,,0.030000,,,,5172.00,0.94,0.91,0.350,,4.43,,
78,55 Cnc c,0,44.38270000,0.243200,,54.34866,,0.048000,,,,5317.89,0.96,0.97,0.383,,4.46,,
79,55 Cnc c,0,43.93000000,0.240000,,68.96911,,0.440000,,,,,,0.95,,,,,
80,55 Cnc c,0,44.38000000,0.237000,,52.44000,,0.070000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
81,55 Cnc c,0,44.37870000,0.238000,,52.44000,,0.053000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
82,55 Cnc c,0,44.34460000,0.240000,,53.71100,,0.086000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
83,55 Cnc c,0,44.41750000,0.241376,54.47380,54.47380,,0.020000,,,,,,0.95,,,,,
84,55 Cnc d,0,4517.40000000,5.257000,,1243.35096,,0.327000,,,,,,0.95,,,,,
85,55 Cnc d,0,4867.00000000,5.446000,1226.77000,1226.77000,,0.026900,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
86,55 Cnc d,0,4545.00000000,5.280000,,918.49000,,0.240000,,,,,,,,,,,
87,55 Cnc d,0,5574.20000000,5.957000,,991.60000,,0.130000,,,,5172.00,0.94,0.91,0.350,,4.43,,
88,55 Cnc d,0,5370.00000000,5.840000,,1220.42000,,0.063000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
89,55 Cnc d,0,5360.00000000,5.900000,,1287.21150,,0.160000,,,G8 V,,,0.95,0.270,,,5.500,
90,55 Cnc d,0,4820.00000000,5.540000,,908.98924,,0.139000,,,,5317.89,0.96,0.97,0.383,,4.46,,
91,55 Cnc d,0,4909.00000000,5.470000,,1121.89000,,0.020000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
92,55 Cnc d,0,5218.00000000,5.770000,,1218.82700,,0.025000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
93,55 Cnc d,0,4825.00000000,5.503000,1232.49300,1232.49300,,0.019000,,,,,,0.95,,,,,
94,55 Cnc e,0,0.73653900,0.015440,8.08000,8.08000,6.40000,,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
95,55 Cnc e,0,0.73654600,0.015830,8.37000,8.37000,4.50000,0.000000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
96,55 Cnc e,0,0.73654170,,,,,,,,,,,,,,,,
97,55 Cnc e,0,0.73654450,0.015830,,9.37594,,0.036000,,,,5317.89,0.96,0.97,0.383,,4.46,,
98,55 Cnc e,0,0.73655150,0.015691,8.13928,8.13928,,0.040000,,,,,,0.95,,,,,
99,55 Cnc e,0,2.80800000,0.038000,,14.30235,,0.174000,,,,,,0.95,,,,,
100,55 Cnc e,0,,0.015440,8.08000,8.08000,6.30000,,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
101,55 Cnc e,0,0.73654780,0.015439,8.09479,8.09479,,0.028000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
102,55 Cnc e,0,,,,,,,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
103,55 Cnc e,0,2.79674000,0.037700,,7.46870,,0.264000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
104,55 Cnc e,0,0.73654000,0.015830,8.63000,8.63000,5.90000,,,,G8 V,,0.94,0.96,,,,,
105,55 Cnc e,0,0.73654370,0.015440,7.81000,7.81000,4.78000,0.061000,,1958,,5234.00,0.94,0.91,0.310,,4.45,,
